trade_id,pair,timeframe,direction,entry_price,confidence,pnl,rr_ratio,duration_hours,timestamp,equity_after
1,XAUUSD,1H,SELL,1813.481524944357,71.04041771497437,62.44,1.2734269236962983,11,2016-06-04T14:51:00.478509,10062.44
2,XAUUSD,1H,SELL,1823.9444800532558,76.79093620799371,-169.66,2.3266122248246983,21,2016-06-04T18:51:00.478509,9892.78
3,XAUUSD,1H,SELL,1837.5490877629127,75.50848376327713,129.71,1.3300200516723613,18,2016-06-04T22:51:00.478509,10022.49
4,XAUUSD,1H,SELL,1879.5978941414733,70.59182127635502,90.01,1.6013373153586437,10,2016-06-05T02:51:00.478509,10112.5
5,XAUUSD,1H,BUY,1827.6212338261569,86.54744361608807,46.83,1.6048279786237738,22,2016-06-05T06:51:00.478509,10159.33
6,XAUUSD,1H,SELL,1968.050014116477,78.88189649925488,204.41,1.5071700208259358,17,2016-06-05T10:51:00.478509,10363.74
7,XAUUSD,1H,BUY,1999.8896130247383,93.54676633990252,141.21,2.2623781012638804,11,2016-06-05T14:51:00.478509,10504.95
8,XAUUSD,1H,BUY,1947.0875609192508,69.32189306721072,-193.07,2.415245869858162,2,2016-06-05T18:51:00.478509,10311.88
9,XAUUSD,1H,SELL,1807.3298928579877,66.82658944358019,161.08,1.71978956446633,19,2016-06-05T22:51:00.478509,10472.96
10,XAUUSD,1H,BUY,1906.3974511314843,77.08336661039687,258.08,1.8203321470443323,14,2016-06-06T02:51:00.478509,10731.04
11,XAUUSD,1H,BUY,1870.8031520881448,93.83018054344697,-37.75,1.7024808588566163,2,2016-06-06T06:51:00.478509,10693.29
12,XAUUSD,1H,SELL,1934.8160739399136,66.18028562022728,-92.63,1.9227301481903272,12,2016-06-06T10:51:00.478509,10600.66
13,XAUUSD,1H,BUY,1930.6649923953419,92.15266704214667,116.2,2.102444561538289,8,2016-06-06T14:51:00.478509,10716.86
14,XAUUSD,1H,BUY,1952.9291545859526,71.72963153021092,-170.22,1.5232947020927887,12,2016-06-06T18:51:00.478509,10546.64
15,XAUUSD,1H,SELL,1890.7222963725142,70.64446230811205,128.48,1.838384209214469,18,2016-06-06T22:51:00.478509,10675.12
16,XAUUSD,1H,BUY,1961.4994645947065,68.0434886638123,-67.07,2.3768676874065893,3,2016-06-07T02:51:00.478509,10608.05
17,XAUUSD,1H,SELL,1852.4851558754685,67.15528410300347,-43.27,1.761297165944317,22,2016-06-07T06:51:00.478509,10564.78
18,XAUUSD,1H,SELL,1857.0382073053688,81.20130932174169,-155.8,1.2958083972573655,4,2016-06-07T10:51:00.478509,10408.98
19,XAUUSD,1H,SELL,1853.313266628169,89.95719885511059,201.59,1.2598102994946694,20,2016-06-08T02:51:00.478509,10610.57
20,XAUUSD,1H,BUY,1866.2221111784177,67.27089542839654,250.7,2.265766963410579,6,2016-06-08T06:51:00.478509,10861.27
21,XAUUSD,1H,BUY,1815.8109359099992,67.64211734115284,100.91,2.495803349854815,16,2016-06-08T10:51:00.478509,10962.18
22,XAUUSD,1H,BUY,1841.4723474166692,75.98274112168018,-70.49,1.5727250832824184,4,2016-06-08T14:51:00.478509,10891.69
23,XAUUSD,1H,SELL,1812.286426395968,94.29613165758313,251.73,1.5016464809843835,14,2016-06-08T18:51:00.478509,11143.42
24,XAUUSD,1H,BUY,1986.6356898998513,79.88696227915146,-27.24,1.296929788049109,22,2016-06-08T22:51:00.478509,11116.18
25,XAUUSD,1H,SELL,1922.1422288247136,90.47037797451097,-99.76,2.0154959757827244,8,2016-06-09T02:51:00.478509,11016.42
26,XAUUSD,1H,SELL,1822.17739216241,74.95541006580252,-181.26,2.315021023876891,19,2016-06-09T06:51:00.478509,10835.16
