trade_id,pair,timeframe,direction,entry_price,confidence,pnl,rr_ratio,duration_hours,timestamp,equity_after
1,XAUUSD,4H,BUY,1980.0451819877665,79.44694477753922,74.9,1.4765116550455257,10,2016-06-04T14:47:13.968143,10074.9
2,XAUUSD,4H,BUY,1899.3469934474388,67.19160473177757,95.45,2.486708376571144,28,2016-06-11T14:47:13.968143,10170.35
3,XAUUSD,4H,BUY,1800.804109367601,69.69426694827916,-194.63,1.8330909862818978,50,2016-06-18T14:47:13.968143,9975.72
4,XAUUSD,4H,BUY,1935.1736170761026,86.54864419780228,-57.54,2.077722542745324,35,2016-06-25T14:47:13.968143,9918.18
5,XAUUSD,4H,BUY,1950.0702815900056,73.87756264137374,-120.96,2.433714483932095,61,2016-07-02T14:47:13.968143,9797.22
6,XAUUSD,4H,BUY,1914.11899755426,85.60677856837955,-215.72,1.345541953360352,59,2016-07-09T14:47:13.968143,9581.5
7,XAUUSD,4H,BUY,1881.494049179592,87.71044028056002,74.04,2.082257218409614,53,2016-07-16T14:47:13.968143,9655.54
8,XAUUSD,4H,SELL,1923.7879379478948,71.97254834593389,123.92,1.462767375072492,65,2016-07-23T14:47:13.968143,9779.46
9,XAUUSD,4H,BUY,1962.4500462742824,74.46285086092146,414.53,1.3411087695122095,29,2016-07-30T14:47:13.968143,10193.99
10,XAUUSD,4H,BUY,1997.1197918294197,65.91584638816532,325.72,2.4845806801759975,10,2016-08-06T14:47:13.968143,10519.71
11,XAUUSD,4H,SELL,1819.4424888456401,77.26265583620274,-164.56,1.3384404392073608,62,2016-08-13T14:47:13.968143,10355.15
12,XAUUSD,4H,SELL,1803.453904024331,89.39780127527425,-68.92,1.4087939844668214,64,2016-08-20T14:47:13.968143,10286.23
13,XAUUSD,4H,BUY,1896.8298803468824,83.2739077396991,185.38,1.836912068587479,3,2016-08-27T14:47:13.968143,10471.61
14,XAUUSD,4H,SELL,1883.921172449487,78.91212183034376,338.65,2.2164995786662063,46,2016-09-03T14:47:13.968143,10810.26
